Model,Spacing,Accuracy,Set Size
Multi-Head Attention,0.20000000298023224,0.7703999876976013,8
TopK,0.20000000298023224,0.7603999972343445,8
Mean,0.20000000298023224,0.76419997215271,8
Multi-Head Attention,0.20000000298023224,0.917900025844574,32
TopK,0.20000000298023224,0.9067000150680542,32
Mean,0.20000000298023224,0.9215999841690063,32
Multi-Head Attention,0.20000000298023224,0.9975000023841858,128
TopK,0.20000000298023224,0.9726999998092651,128
Mean,0.20000000298023224,0.9979000091552734,128
Baseline,0.25,0.616599977016449,1
Multi-Head Attention,0.25,0.7989000082015991,8
TopK,0.25,0.7982000112533569,8
Mean,0.25,0.7976999878883362,8
Multi-Head Attention,0.25,0.9491000175476074,32
TopK,0.25,0.9399999976158142,32
Mean,0.25,0.9520999789237976,32
Multi-Head Attention,0.25,0.9983999729156494,128
TopK,0.25,0.9904000163078308,128
Mean,0.25,0.9991999864578247,128
Baseline,0.30000001192092896,0.6488999724388123,1
Multi-Head Attention,0.30000001192092896,0.8603000044822693,8
TopK,0.30000001192092896,0.8622000217437744,8
Mean,0.30000001192092896,0.864799976348877,8
Multi-Head Attention,0.30000001192092896,0.9861999750137329,32
TopK,0.30000001192092896,0.9779999852180481,32
Mean,0.30000001192092896,0.9854000210762024,32
Multi-Head Attention,0.30000001192092896,0.9994000196456909,128
TopK,0.30000001192092896,0.9980999827384949,128
Mean,0.30000001192092896,1.0,128
Baseline,0.3499999940395355,0.6780999898910522,1
Multi-Head Attention,0.3499999940395355,0.8949000239372253,8
TopK,0.3499999940395355,0.899399995803833,8
Mean,0.3499999940395355,0.9041000008583069,8
Multi-Head Attention,0.3499999940395355,0.9940000176429749,32
TopK,0.3499999940395355,0.9864000082015991,32
Mean,0.3499999940395355,0.9941999912261963,32
Multi-Head Attention,0.3499999940395355,1.0,128
TopK,0.3499999940395355,0.9987000226974487,128
Mean,0.3499999940395355,1.0,128
Baseline,0.4000000059604645,0.6933000087738037,1
Multi-Head Attention,0.4000000059604645,0.9273999929428101,8
TopK,0.4000000059604645,0.9230999946594238,8
